slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio
ethereum,ETH,Ethereum,2015-08-07,3,2.83,3.54,2.52,2.77,164329,166610555,0.2451
ethereum,ETH,Ethereum,2015-08-08,3,2.79,2.8,0.714725,0.753325,674188,45486894,0.0185
ethereum,ETH,Ethereum,2015-08-09,3,0.706136,0.87981,0.629191,0.701897,532170,42399573,0.2901
ethereum,ETH,Ethereum,2015-08-10,3,0.713989,0.729854,0.636546,0.708448,405283,42818364,0.7706
ethereum,ETH,Ethereum,2015-08-11,3,0.708087,1.13,0.663235,1.07,1463100,64569288,0.8715
ethereum,ETH,Ethereum,2015-08-12,3,1.06,1.29,0.883608,1.22,2150620,73645011,0.8278
ethereum,ETH,Ethereum,2015-08-13,3,1.22,1.97,1.17,1.83,4068680,110607192,0.825
ethereum,ETH,Ethereum,2015-08-14,3,1.81,2.26,1.75,1.83,4637030,110672322,0.1569
ethereum,ETH,Ethereum,2015-08-15,3,1.8,1.88,1.57,1.69,2554360,102303608,0.3871
ethereum,ETH,Ethereum,2015-08-16,3,1.68,1.7,1.09,1.57,3550790,94901005,0.7869
ethereum,ETH,Ethereum,2015-08-17,3,1.58,1.58,1.19,1.2,1942830,87295367,0.0256
ethereum,ETH,Ethereum,2015-08-18,3,1.22,1.33,1.09,1.09,1485680,78868413,0
ethereum,ETH,Ethereum,2015-08-19,3,1.17,1.32,1.17,1.26,1486240,91366391,0.6
ethereum,ETH,Ethereum,2015-08-20,3,1.25,1.53,1.25,1.46,2843760,106351420,0.75
ethereum,ETH,Ethereum,2015-08-21,3,1.48,1.56,1.35,1.4,2020970,101331856,0.2381
ethereum,ETH,Ethereum,2015-08-22,3,1.4,1.48,1.35,1.38,948310,100201826,0.2308
ethereum,ETH,Ethereum,2015-08-23,3,1.38,1.41,1.3,1.35,1589300,98300351,0.4545
ethereum,ETH,Ethereum,2015-08-24,3,1.35,1.36,1.23,1.23,924920,89515257,0
